"","X_UWI_DISPLAY","UWI","SURFACE_LATITUDE","SURFACE_LONGITUDE","X_TD_TVD","DRILL_TD","X_ONPROD_DATE","RIG_RELEASE_DATE","PROFILE_TYPE","PSUM_POOL_NAME","PSUM_OPERATOR_NAME"
"1","01/01-02-030-23W3/0","101010203023W300",51.5357416,-109.1342147,717.81,1509,2017-01-13,2016-12-09,"Horizontal","VIKING SAND","CRESCENT POINT RESOURCES PARTNERSHIP"
"2","01/01-04-026-17W3/0","101010402617W300",51.1843804,-108.3316823,684.4,2252,2017-08-21,2017-07-23,"Horizontal","GREENAN VIKING","CRESCENT POINT RESOURCES PARTNERSHIP"
"3","01/01-05-030-23W3/0","101010503023W300",51.5411099,-109.1942258,716.16,1514,2016-06-22,2016-06-12,"Horizontal","VIKING SAND","TEINE ENERGY LTD."
"4","01/01-28-029-22W3/0","101012802922W300",51.5059463,-109.039361,736.68,1431,2016-12-06,2016-11-01,"Horizontal","AVON HILL VIKING","CRESCENT POINT RESOURCES PARTNERSHIP"
"5","01/01-30-030-19W3/0","101013003019W300",51.5933929,-108.6660975,737.11,1487,2016-10-01,2016-09-04,"Horizontal","DODSLAND VIKING","CRESCENT POINT ENERGY CORP."
"6","01/01-31-029-24W3/0","101013102924W300",51.5267565,-109.3600031,720.32,1454,2017-02-04,2017-01-26,"Horizontal","WHITESIDE VIKING","WHITECAP RESOURCES INC."
"7","01/01-32-025-14W3/0","101013202514W300",51.1701354,-107.9354657,602.67,2148,2017-03-01,2017-02-01,"Horizontal","VIKING SAND","RAGING RIVER EXPLORATION INC."
"8","01/03-07-030-23W3/0","101030703023W300",51.5509878,-109.2396182,702.93,1503,2017-07-25,2017-07-10,"Horizontal","VIKING SAND","TEINE ENERGY LTD."
"9","01/04-35-029-22W3/0","101043502922W300",51.5276186,-108.9990144,731.32,1553,2017-08-10,2017-07-30,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"10","01/05-26-025-15W3/0","101052602515W300",51.1699016,-107.9999143,638.96,1831,2017-02-17,2017-01-25,"Horizontal","ELROSE VIKING SAND","RAGING RIVER EXPLORATION INC."
"11","01/06-26-029-25W3/0","101062602925W300",51.501826,-109.4199113,713.22,1597,2017-06-29,2017-06-15,"Horizontal","WHITESIDE VIKING","TEINE ENERGY LTD."
"12","01/06-27-029-26W3/0","101062702926W300",51.5133692,-109.591362,785.77,1616,2017-07-09,2017-06-23,"Horizontal","WHITESIDE VIKING","NOVUS ENERGY LTD."
"13","01/07-26-029-22W3/0","101072602922W300",51.5094618,-108.9785253,729.29,1518,2016-03-09,2016-03-01,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"14","01/08-05-033-26W3/0","101080503326W300",51.7927588,-109.6469517,736.42,1488.3,2017-03-16,2017-02-10,"Horizontal","PRAIRIEDALE VIKING SAND","ISH ENERGY LTD."
"15","01/01-05-030-26W3/0","101010503026W300",51.5320262,-109.6382555,758.68,2409,2017-06-01,2017-01-03,"Horizontal","WHITESIDE VIKING","NOVUS ENERGY LTD."
"16","01/01-07-031-20W3/0","101010703120W300",51.6502558,-108.8175088,681.51,2330,2018-05-26,2018-03-17,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"17","01/01-11-030-26W3/0","101011103026W300",51.5601769,-109.5464815,755.71,1929,2017-02-13,2017-02-09,"Horizontal","WHITESIDE VIKING","RAGING RIVER EXPLORATION INC."
"18","01/01-12-030-22W3/2","101011203022W302",51.5492063,-108.9696335,NA,NA,2016-07-16,NA,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"19","01/01-19-026-18W3/0","101011902618W300",51.2298105,-108.5058007,690.25,1524,2017-05-16,2017-03-12,"Horizontal","PLATO NORTH VIKING","TEINE ENERGY LTD."
"20","01/01-19-029-21W3/0","101011902921W300",51.49163,-108.9483555,740.84,1625,2017-08-19,2017-07-31,"Horizontal","AVON HILL VIKING","TEINE ENERGY LTD."
"21","01/01-21-028-24W3/0","101012102824W300",51.4038075,-109.3354205,712.53,2390,2017-03-14,2017-03-07,"Horizontal","VIKING SAND","WHITECAP RESOURCES INC."
"22","01/01-21-030-19W3/0","101012103019W300",51.5784163,-108.6179449,740.05,1490,2016-06-20,2016-06-11,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"23","01/01-21-030-20W3/0","101012103020W300",51.5776132,-108.769897,720.35,2296,2017-03-03,2017-02-09,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"24","01/01-21-033-23W3/0","101012103323W300",51.8427381,-109.207357,706.95,1560,2016-12-07,2016-11-29,"Horizontal","KERROBERT VIKING","WHITECAP RESOURCES INC."
"25","01/01-22-030-19W3/0","101012203019W300",51.5787771,-108.5957396,749.76,1604,2016-06-14,2016-06-06,"Horizontal","DODSLAND VIKING","TEINE ENERGY LTD."
"26","01/01-22-032-25W3/0","101012203225W300",51.7522436,-109.4668406,699.82,1470,2016-11-06,2016-10-25,"Horizontal","PRAIRIEDALE E VIKING GAS","RAGING RIVER EXPLORATION INC."
"27","01/01-23-029-25W3/0","101012302925W300",51.4911321,-109.4279201,718.22,2342,2017-07-29,2017-07-17,"Horizontal","WHITESIDE VIKING","TEINE ENERGY LTD."
"28","01/01-24-030-21W3/0","101012403021W300",51.5774448,-108.8305612,687.1,1537,2017-07-11,2017-06-29,"Horizontal","DODSLAND VIKING","RAGING RIVER EXPLORATION INC."
"29","01/01-26-025-14W3/0","101012602514W300",51.1551567,-107.8665249,2184,2184,2017-08-02,2017-07-25,"Horizontal","VIKING SAND","RAGING RIVER EXPLORATION INC."
"30","01/01-26-032-20W3/0","101012603220W300",51.7670557,-108.7343954,635.35,1390,2017-02-10,2017-01-08,"Horizontal","DODSLAND NORTH VIKING","NAL RESOURCES LIMITED"
"31","01/01-26-032-24W3/0","101012603224W300",51.7740291,-109.2905415,724.33,1508,2016-01-15,2016-01-06,"Horizontal","KERROBERT VIKING","WHITECAP RESOURCES INC."
"32","01/01-27-025-18W3/0","101012702518W300",51.1636,-108.4238593,680.91,1541,2016-10-03,2016-09-23,"Horizontal","PLATO VIKING","TEINE ENERGY LTD."
"33","01/01-27-029-25W3/0","101012702925W300",51.5064595,-109.4512347,726.05,2292,2016-10-31,2016-09-26,"Horizontal","WHITESIDE VIKING","WHITECAP RESOURCES INC."
"34","01/01-27-030-20W3/0","101012703020W300",51.599498,-108.7252865,707.92,1476,2017-06-21,2017-02-03,"Horizontal","DODSLAND VIKING","SPARTAN ENERGY CORP."
"35","01/01-28-025-18W3/0","101012802518W300",51.1561242,-108.4591568,686.63,1438,2017-10-24,2017-08-28,"Horizontal","PLATO VIKING","CRESCENT POINT ENERGY CORP."
