"","X_UWI_DISPLAY","UWI","SURFACE_LATITUDE","SURFACE_LONGITUDE","X_TD_TVD","DRILL_TD","X_ONPROD_DATE","RIG_RELEASE_DATE","PROFILE_TYPE","PSUM_POOL_NAME","PSUM_OPERATOR_NAME"
"1","00/01-01-059-21W5/4","100010105921W504",54.069091,-117.019401,2654.05,3631,2011-12-21,2011-11-07,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"2","00/01-01-060-20W5/0","100010106020W500",54.154618,-116.876101,2398.45,3968,2010-04-08,2010-02-12,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"3","00/01-01-064-18W5/0","100010106418W500",54.506173,-116.596561,1825.75,3657,2012-04-07,2012-03-22,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"4","00/01-01-064-19W5/0","100010106419W500",54.517005,-116.730282,1831.72,3534,2014-11-20,2014-10-24,"Horizontal","TRIASSIC G","PARAMOUNT RESOURCES LTD."
"5","00/01-02-064-23W5/0","100010206423W500",54.507113,-117.378468,2134.92,3817,2012-01-26,2012-01-15,"Horizontal","MONTNEY F","TANGLE CREEK ENERGY LTD."
"6","00/01-05-059-20W5/0","100010505920W500",54.06685,-116.978852,2655.29,4337,2010-11-06,2010-08-30,"Horizontal","COMMINGLED MFP9529","PARAMOUNT RESOURCES LTD."
"7","00/02-01-060-23W5/0","100020106023W500",54.185398,-117.310511,2756.61,5808,2014-03-17,2014-02-25,"Horizontal","MONTNEY UNDEFINED","DELPHI ENERGY CORP."
"8","00/02-09-067-24W5/0","100020906724W500",54.787691,-117.582019,1885.21,2950,2011-06-28,2011-02-15,"Horizontal","COMMINGLED POOL 005","ARC RESOURCES LTD."
"9","00/02-31-059-21W5/0","100023105921W500",54.161295,-117.145913,2659.66,5214,2018-04-01,2018-01-02,"Horizontal","UNDEFINED POOL","XTO ENERGY CANADA"
"10","00/03-22-064-18W5/0","100032206418W500",54.545765,-116.640112,1865.79,1866,NA,2012-10-05,"Vertical",NA,"MURPHY OIL COMPANY LTD."
"11","00/03-26-059-23W5/0","100032605923W500",54.15007,-117.343673,2857.74,5593,2014-09-24,2014-09-07,"Horizontal","MONTNEY UNDEFINED","DELPHI ENERGY CORP."
